ObjectID,Plat-Lot#,StreetAddress,city,state,Zip,ZipCode,geo_score,geo_address,geo_lat,geo_lon,List_type,Class Desc,Housing Units,Tax_Value$,Tax_Value,Tax_Bill$,Tax_Bill
065-0952-0000,065-0952-0000,92 ALLSTON ST,Providence,RI,2909,02909,63,"88 ALLSTON ST, PROVIDENCE",41.82906675,-71.43858774,City-owned Tax Sale,CI Vacant Land,0,"$22,800.00 ",22800.00,$837.92 ,837.92
065-0977-H22A,0650977H22A,"75 Eagle St, Unit H22A",Providence,RI,2909,02909,100,"75 EAGLE ST, PROVIDENCE",41.82500813,-71.43541835,Unconfirmed Vacated,Residential Condo,0,"$127,000.00 ",127000.00,"$4,286.28 ",4286.28
065-0977-H22B,0650977H22B,"75 Eagle St, Unit H22B",Providence,RI,2909,02909,100,"75 EAGLE ST, PROVIDENCE",41.82500813,-71.43541835,Unconfirmed Vacated,Residential Condo,1,"$124,600.00 ",124600.00,"$4,205.28 ",4205.28
065-0977-H22D,0650977H22D,"75 Eagle St, Unit H22D",Providence,RI,2909,02909,100,"75 EAGLE ST, PROVIDENCE",41.82500813,-71.43541835,Unconfirmed Vacated,Residential Condo,0,"$119,800.00 ",119800.00,"$4,043.28 ",4043.28
065-0977-H23A,0650977H23A,"75 Eagle St, Unit H23A",Providence,RI,2909,02909,100,"75 EAGLE ST, PROVIDENCE",41.82500813,-71.43541835,Unconfirmed Vacated,Residential Condo,0,"$127,000.00 ",127000.00,"$4,286.28 ",4286.28
065-0977-H23B,0650977H23B,"75 Eagle St, Unit H23B",Providence,RI,2909,02909,100,"75 EAGLE ST, PROVIDENCE",41.82500813,-71.43541835,Unconfirmed Vacated,Residential Condo,0,"$124,600.00 ",124600.00,"$4,205.28 ",4205.28
065-0977-H23C,0650977H23C,"75 Eagle St, Unit H23C",Providence,RI,2909,02909,100,"75 EAGLE ST, PROVIDENCE",41.82500813,-71.43541835,Unconfirmed Vacated,Residential Condo,0,"$119,800.00 ",119800.00,"$4,043.28 ",4043.28
065-0977-H23D,0650977H23D,"75 Eagle St, Unit H23D",Providence,RI,2909,02909,100,"75 EAGLE ST, PROVIDENCE",41.82500813,-71.43541835,Unconfirmed Vacated,Residential Condo,0,"$119,800.00 ",119800.00,"$4,043.28 ",4043.28
065-0977-H23E,0650977H23E,"75 Eagle St, Unit H23E",Providence,RI,2909,02909,100,"75 EAGLE ST, PROVIDENCE",41.82500813,-71.43541835,Unconfirmed Vacated,Residential Condo,0,"$128,600.00 ",128600.00,"$4,340.28 ",4340.28
065-0977-H23F,0650977H23F,"75 Eagle St, Unit H23F",Providence,RI,2909,02909,100,"75 EAGLE ST, PROVIDENCE",41.82500813,-71.43541835,Unconfirmed Vacated,Residential Condo,0,"$124,600.00 ",124600.00,"$4,205.28 ",4205.28
065-0983-0000,065-0983-0000,40 ALLSTON ST,Providence,RI,2909,02909,63,"72 ALLSTON ST, PROVIDENCE",41.82876548,-71.43936688,City-owned Tax Sale,Residential Vacant Land,0,"$24,000.00 ",24000.00,$810.00 ,810.00
065-0984-0000,065-0984-0000,34 ALLSTON ST,Providence,RI,2909,02909,63,"72 ALLSTON ST, PROVIDENCE",41.82876548,-71.43936688,City-owned Tax Sale,Residential Vacant Land,0,"$23,400.00 ",23400.00,$789.76 ,789.76
065-0985-0000,065-0985-0000,30 ALLSTON ST,Providence,RI,2909,02909,63,"72 ALLSTON ST, PROVIDENCE",41.82876548,-71.43936688,City-owned Tax Sale,Residential Vacant Land,0,"$23,700.00 ",23700.00,$799.88 ,799.88
065-0986-0000,065-0986-0000,22 ALLSTON ST,Providence,RI,2909,02909,62,"72 ALLSTON ST, PROVIDENCE",41.82876548,-71.43936688,City-owned Tax Sale,Residential Vacant Land,0,"$23,900.00 ",23900.00,$806.64 ,806.64
066-0002-0000,066-0002-0000,15 LISBON ST,Providence,RI,2909,02909,100,"15 LISBON ST, PROVIDENCE",41.83160328,-71.43475428,Waste Collection ID,Single Family,1,"$113,600.00 ",113600.00,"$3,834.00 ",3834.00
066-0004-0000,066-0004-0000,8 WOLCOTT ST,Providence,RI,2909,02909,63,"28 WOLCOTT ST, PROVIDENCE",41.82900868,-71.43340729,City-owned Tax Sale,CI Vacant Land,0,"$23,200.00 ",23200.00,$852.60 ,852.60
066-0142-0000,066-0142-0000,73 ROBIN ST,Providence,RI,2909,02909,100,"73 ROBIN ST, PROVIDENCE",41.8319023,-71.43614485,Waste Collection ID,2 -5 Family,3,"$80,000.00 ",80000.00,"$2,700.00 ",2700.00
066-0144-0000,066-0144-0000,65 ROBIN ST,Providence,RI,2909,02909,100,"65 ROBIN ST, PROVIDENCE",41.83159288,-71.43591539,Waste Collection ID,2 -5 Family,2,"$75,100.00 ",75100.00,"$2,534.64 ",2534.64
066-0150-0000,066-0150-0000,35 REGENT AVE,Providence,RI,2909,02909,100,"35 REGENT AVE, PROVIDENCE",41.83117419,-71.43525288,Waste Collection ID,2 -5 Family,3,"$81,200.00 ",81200.00,"$2,740.52 ",2740.52
066-0166-0000,066-0166-0000,10 WOLCOTT ST,Providence,RI,2909,02909,63,"28 WOLCOTT ST, PROVIDENCE",41.82900868,-71.43340729,City-owned Tax Sale,CI Vacant Land,0,"$30,300.00 ",30300.00,"$1,113.56 ",1113.56
066-0217-0000,066-0217-0000,536 VALLEY ST,Providence,RI,2909,02909,100,"536 VALLEY ST, PROVIDENCE",41.83014323,-71.43141056,City-owned Tax Sale,CI Vacant Land,0,"$90,200.00 ",90200.00,"$3,314.88 ",3314.88
066-0239-0000,066-0239-0000,52 ZONE ST,Providence,RI,2908,02908,100,"52 ZONE ST, PROVIDENCE, 02908",41.83430062,-71.4276106,City-owned Tax Sale,Residential Vacant Land,3,"$46,900.00 ",46900.00,"$1,582.88 ",1582.88
